Estados: q0, q1_scan, q2_scan_j, q_scan_k, q3_mark_k, q4_return, q_mark_next_i, q_finish_i, q_start_verify, q_find_b_jk, q_match_k, q_back_to_b_jk, q_check_excess_k, q_find_b_ji, q_match_i, q_back_to_b_ji, q_check_excess_i, q_accept, q_reject
Alfabeto_Entrada: a, b
Alfabeto_Fita: a, b, X, Y, Z, _, I, M, x, y, z
Simbolo_Branco: _
Estado_Inicial: q0
Estado_Aceitacao: q_accept
Estado_Rejeicao: q_reject
Transicoes:
// L = {aⁱbʲaᵏ | j = max(i, k)}

// --- FASE 1: Comparar i e k ---

// q0: Marca APENAS o primeiro 'a' como 'I'.
q0, a, q1_scan, I, R
// q_find_b_ji: Procura b
q_find_b_ji, X, q_find_b_ji, X, R
q_find_b_ji, I, q_find_b_ji, I, R
q_find_b_ji, M, q_find_b_ji, M, R
q_find_b_ji, x, q_find_b_ji, x, R
q_find_b_ji, z, q_find_b_ji, z, R
q_find_b_ji, b, q_match_i, z, L    
q_find_b_ji, Y, q_check_excess_i, Y, L // Acabou b
q_find_b_ji, _, q_check_excess_i, _, L // Acabou b

// q_match_i: Busca par (X ou I) à esquerda
q_match_i, z, q_match_i, z, L
q_match_i, x, q_match_i, x, L
q_match_i, M, q_match_i, M, L
q_match_i, X, q_back_to_b_ji, x, R // Matou X
q_match_i, I, q_back_to_b_ji, M, R // Matou I
q_match_i, _, q_reject, _, N       // Sobrou b

// q_back_to_b_ji: Volta para o z
q_back_to_b_ji, X, q_back_to_b_ji, X, R
q_back_to_b_ji, x, q_back_to_b_ji, x, R
q_back_to_b_ji, M, q_back_to_b_ji, M, R
q_back_to_b_ji, z, q_find_b_ji, z, R 

// q_check_excess_i: Varre esquerda. 
q_check_excess_i, z, q_check_excess_i, z, L
q_check_excess_i, x, q_check_excess_i, x, L
q_check_excess_i, M, q_accept, M, N     // Bateu no início processado = SUCESSO.
q_check_excess_i, X, q_reject, X, R     // Sobrou X.
q_check_excess_i, I, q_reject, I, R     // Sobrou I.
q_check_excess_i, _, q_accept, _, N
